date,startup,vertical,subvertical,city,investors,round,amount,month,year
2019-08-13,Uniphore,customer service platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51.0,8,2019
2019-08-23,Zendrive,automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37.0,8,2019
2019-08-23,Lo! Foods,consumer goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,0.5,8,2019
2019-08-23,Tala,fintech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110.0,8,2019
2019-08-22,INDwealth,fintech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15.0,8,2019
2019-08-21,HungerBox,food and beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6.59,8,2019
2019-08-23,AdmitKard,edtech,University Admissions,Noida,Growth DNA,Seed Round,1.0,8,2019
2019-08-19,Mishry Reviews,services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,8,2019
2019-08-19,Grofers,ecommerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70.0,8,2019
2019-08-27,Rapido Bike Taxi,transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900.0,8,2019
2019-07-02,RenewBuy,finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19.0,7,2019
2019-07-02,Atlan,information technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2.5,7,2019
2019-07-01,WizCounsel,compliance,Consulting,New Delhi,Kapil Dev,Angel,0.145,7,2019
2019-07-03,Ola Cabs,transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1.0,7,2019
2019-07-01,Uniphore,artificial intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38.08,7,2019
2019-07-04,Daalchini Technologies,food and beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,0.5,7,2019
2019-07-10,"""BYJU\\'S""",edtech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150.0,7,2019
