date,startup,vertical,subvertical,city,investors,round,amount,month,year
2017-11-02,Prest Loans,finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,0.57,11,2017
2017-11-03,Vagupu,technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,1.0,11,2017
2017-11-03,Kalpnik Technologies,technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,0.5,11,2017
2017-11-04,Hevo Data,technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,1.0,11,2017
2017-11-07,DocTalk,technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,5.0,11,2017
2017-11-07,CoveIoT,technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,5.0,11,2017
2017-11-08,TalentEdge,technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,7.6,11,2017
2017-11-08,Fisdom,finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,3.0,11,2017
2017-11-08,FarmLink,ecommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,3.0,11,2017
2017-11-08,OpenApp,technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,3.6,11,2017
2017-11-09,NoPaperForms,technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,0.872,11,2017
2017-11-10,Qubole,technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,25.0,11,2017
2017-11-13,Universal Sportsbiz Pvt. Ltd,ecommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,15.0,11,2017
2017-11-14,Active AI,technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,8.25,11,2017
2017-11-15,Sumeru,technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,0.9,11,2017
2017-11-15,Omnia Information,technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,3.0,11,2017
2017-11-17,Kanhaiya,inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,0.2,11,2017
2017-11-20,ONN Bikes,technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,0.692,11,2017
2017-11-21,Rapido,technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,0.32923,11,2017
2017-11-21,Heckyl,technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,2.7,11,2017
2017-11-21,Nuvepro,technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,0.4,11,2017
2017-11-21,RedBook,technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,0.25,11,2017
2017-11-21,Portea,healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,26.0,11,2017
2017-11-21,Epiq Capital,finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,200.0,11,2017
2017-11-24,IDG Ventures,finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,10.0,11,2017
2017-11-24,TempGo,technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,0.25,11,2017
2017-11-27,Edelweiss,finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,270.0,11,2017
2017-11-27,ERA,technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,0.039,11,2017
2017-11-27,Smaaash,technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,3.8,11,2017
2017-11-28,Chumbak,lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,13.0,11,2017
2017-11-28,FR8,technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,1.5,11,2017
2017-11-28,MobieFit,healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,1.35,11,2017
2017-11-28,Stanza Living,technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,2.0,11,2017
2017-10-03,Ola Cabs,consumer internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,110.0,10,2017
2017-10-04,CollPoll,consumer internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,0.306,10,2017
2017-10-04,PhonePe,consumer internet,Digital Wallet,Bangalore,Flipkart,Private Equity,38.7,10,2017
2017-10-05,Little Black Book,consumer internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1.0,10,2017
2017-10-05,Oorjan,technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,0.45,10,2017
2017-10-05,Zefo,ecommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9.2,10,2017
2017-10-06,Yaantra,ecommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,3.1,10,2017
2017-10-06,Farm Taaza,technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8.0,10,2017
2017-10-06,Drivezy,consumer internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10.0,10,2017
2017-10-06,Slice Pay,consumer internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,2.0,10,2017
2017-10-09,MyGubbi,ecommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2.7,10,2017
2017-10-09,OneStepUp,technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,0.336,10,2017
2017-10-10,Parallel Dots,technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,1.4,10,2017
2017-10-10,Easy Diner,consumer internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,4.5,10,2017
2017-10-11,Meesho,ecommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3.1,10,2017
2017-10-11,StanPlus,logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,1.1,10,2017
2017-10-12,UCLID,technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,0.235,10,2017
2017-10-13,Policy Bazaar,consumer internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,77.0,10,2017
2017-10-13,Gapoon,consumer internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,0.25,10,2017
2017-10-13,Chaayos,ecommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,2.0,10,2017
2017-10-16,KrazyBee,consumer internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,8.0,10,2017
2017-10-16,Renew Buy,consumer internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,9.2,10,2017
2017-10-17,Fingerlix,consumer internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,7.0,10,2017
2017-10-18,Bank Bazaar,consumer internet,Online Financial Marketplace,Chennai,Experian,Private Equity,7.0,10,2017
2017-10-18,BlackBuck,logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,7.7,10,2017
2017-10-18,LenDen Club,consumer internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,0.5,10,2017
2017-10-23,Toppr,consumer internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7.0,10,2017
2017-10-23,RAW Pressery,food  beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6.0,10,2017
2017-10-23,Cashe,consumer internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,3.1,10,2017
2017-10-23,Park Easy,consumer internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,0.118,10,2017
2017-10-24,FYRE,food  beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,0.5,10,2017
2017-10-24,ZipLoan,consumer internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3.0,10,2017
2017-10-24,Skillenza,consumer internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,0.722,10,2017
2017-10-25,SpotDraft,consumer internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,0.55,10,2017
2017-10-26,Big Basket,ecommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,5.0,10,2017
2017-10-27,OfBusiness,technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,3.8,10,2017
2017-10-28,CashFree,technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,0.12,10,2017
2017-10-28,Ola Cabs,consumer internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,7.7,10,2017
2017-10-30,GoldFarm,food  beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,2.0,10,2017
2017-10-31,NetMeds,ecommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,14.0,10,2017
2017-10-31,MSE,finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,32.0,10,2017
2017-09-01,Aahaa Stores,ecommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,1.0,9,2017
2017-09-01,MFine,consumer internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1.5,9,2017
2017-09-01,Canvera,consumer internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,1.3,9,2017
2017-09-04,PrimaryIO,technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5.6,9,2017
2017-09-05,Shubh Loans,consumer internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1.5,9,2017
2017-09-05,Nest Education,technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,0.6,9,2017
2017-09-06,Lending Kart,consumer internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10.75,9,2017
2017-09-06,GoFro,consumer internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,10.0,9,2017
2017-09-06,OncoStem,healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,6.0,9,2017
2017-09-06,Power2SME,ecommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26.0,9,2017
2017-09-07,Credit Vidya,consumer internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,5.0,9,2017
2017-09-07,OYO Rooms,consumer internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250.0,9,2017
2017-09-07,Early Salary,consumer internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,0.78,9,2017
2017-09-07,Seniority,ecommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,1.0,9,2017
2017-09-08,AYE Finance,consumer internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,6.9,9,2017
2017-09-11,Ecom Express,logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,30.0,9,2017
2017-09-11,Call Health,consumer internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6.2,9,2017
2017-09-12,3HCare,consumer internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,0.1,9,2017
2017-09-12,Tonbo Imaging,technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17.0,9,2017
2017-09-12,Get My Parking,consumer internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3.0,9,2017
2017-09-13,Glowroad,consumer internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",Private Equity,2.0,9,2017
2017-09-13,OYO Rooms,consumer internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,10.0,9,2017
2017-09-13,Unacademy,consumer internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11.5,9,2017
2017-09-13,Heterogenous,technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,0.78,9,2017
2017-09-14,Smaaash,technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,44.0,9,2017
2017-09-14,WheelStreet,consumer portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding,0.12,9,2017
2017-09-18,The Moms Co,ecommerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,1.0,9,2017
2017-09-19,High Radius,technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50.0,9,2017
2017-09-21,SaveBC,finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,6.0,9,2017
2017-09-21,Homergize,ecommerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,1.0,9,2017
2017-09-22,Yatra.com,ecommerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,15.4,9,2017
2017-09-25,Synup,technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,6.0,9,2017
2017-09-25,Rapido,consumer internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,0.422,9,2017
2017-09-25,Sportobuddy,consumer internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,0.15,9,2017
2017-09-27,Transerve,technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1.6,9,2017
2017-09-27,Pitstop,consumer internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1.0,9,2017
2017-09-27,MyUpchar,consumer internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,0.3,9,2017
2017-09-28,Aadyah,technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,1.0,9,2017
2017-08-01,TouchKin,technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,1.3,8,2017
2017-08-02,Zepo,consumer internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,0.5,8,2017
2017-08-02,Click2Clinic,consumer internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,0.85,8,2017
2017-08-03,SpeedBox,logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,0.3,8,2017
2017-08-08,New Castle Technologies,technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,0.243,8,2017
2017-08-08,My Forex Eye,consumer internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,0.22,8,2017
2017-08-09,TruxApp,logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3.1,8,2017
2017-08-09,CroFarm,technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,0.783,8,2017
2017-08-11,Flipkart,ecommerce,Online Marketplace,Bangalore,Softbank,Private Equity,2500.0,8,2017
2017-08-11,Ola Cabs,consumer internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,36.0,8,2017
2017-08-14,Digilend,technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,0.312,8,2017
2017-08-15,KNAB Finance,consumer internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,0.385,8,2017
2017-08-20,Rootefy,ecommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,0.187,8,2017
2017-08-21,Uniphore,technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,6.8,8,2017
2017-08-21,Cerebroz,consumer internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,0.734,8,2017
2017-08-23,Dhruva,technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80.0,8,2017
2017-08-23,Bombay Shaving Company,ecommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,2.3,8,2017
2017-08-23,Indiez,technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,0.5,8,2017
2017-08-24,Ezetap,technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16.0,8,2017
2017-08-25,Ink Monk,consumer internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,0.75,8,2017
2017-08-25,Medinfi,consumer internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,0.125,8,2017
2017-08-28,Mobikon,technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7.0,8,2017
2017-08-29,CureFit,consumer internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25.0,8,2017
2017-08-29,Doxper,technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,0.75,8,2017
2017-08-30,Treebo,consumer internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34.0,8,2017
2017-08-30,MedGenome,technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30.0,8,2017
2017-07-01,Billion Loans,consumer internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1.0,7,2017
2017-07-03,Ecolibriumenergy,technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2.6,7,2017
2017-07-04,Droom,ecommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20.0,7,2017
2017-07-05,Jumbotail,ecommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8.5,7,2017
2017-07-05,Moglix,ecommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12.0,7,2017
2017-07-05,Timesaverz,consumer internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,1.0,7,2017
2017-07-07,Clip App,consumer internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1.0,7,2017
2017-07-10,Autorox.co,technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3.0,7,2017
2017-07-11,Fabogo,consumer internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2.25,7,2017
2017-07-11,Flickstree,consumer internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,0.464,7,2017
2017-07-12,Innoviti,technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18.5,7,2017
2017-07-14,QwikSpec,technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,0.54,7,2017
2017-07-14,Chumbak,ecommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1.7,7,2017
2017-07-17,Increff,technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2.0,7,2017
2017-07-17,Vayana,technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4.0,7,2017
2017-07-19,Rentomojo,consumer internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,10.0,7,2017
2017-07-19,Playablo,technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,0.6,7,2017
2017-07-20,Trupay,technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,0.7,7,2017
2017-07-21,Brick2Wall,ecommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,0.2,7,2017
2017-07-25,Noticeboard,consumer internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,1.2,7,2017
2017-07-25,Byju\\xe2\\x80\\x99s,consumer internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,35.0,7,2017
2017-07-26,Fab Hotels,consumer internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,25.0,7,2017
2017-07-26,ThinkerBell,consumer internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,0.2,7,2017
2017-07-27,1mg,ecommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15.0,7,2017
2017-07-28,BigStylist,consumer internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,1.25,7,2017
2017-06-02,RentOnGo,ecommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding,0.234,6,2017
2017-06-05,Goomo,consumer internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,50.0,6,2017
2017-06-06,Spinny,ecommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1.0,6,2017
2017-06-06,BHIVE Workspace,consumer internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,1.2,6,2017
2017-06-06,wayForward,consumer internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1.0,6,2017
2017-06-07,ZipLoan,consumer internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,0.65,6,2017
2017-06-07,GrowFitter,consumer internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,0.6,6,2017
2017-06-08,Stratfit,consumer internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,0.232,6,2017
2017-06-08,Multiplier Solutions,technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,1.5,6,2017
2017-06-08,ABI Health,technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,1.5,6,2017
2017-06-08,Stockal,consumer internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,0.35,6,2017
2017-06-09,Guidoo,consumer internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,0.3,6,2017
2017-06-09,eSahai.in,consumer internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,0.25,6,2017
2017-06-12,LendingKart,consumer internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,7.8,6,2017
2017-06-12,Boxx.ai,technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,0.5,6,2017
2017-06-12,PeeSafe.in,healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1.0,6,2017
2017-06-12,Vista Rooms,consumer internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,0.776,6,2017
2017-06-12,CoverFox,consumer internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15.0,6,2017
2017-06-13,Goodera,technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,5.5,6,2017
2017-06-14,Ola,consumer internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,50.0,6,2017
2017-06-14,MrNeeds,consumer internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,0.5,6,2017
2017-06-15,MoneyTap,consumer internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12.3,6,2017
2017-06-16,Goodbox,ecommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1.0,6,2017
2017-06-16,Fincash,consumer internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,0.1,6,2017
2017-06-16,PortDesk,technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2.0,6,2017
2017-06-19,Unbxd,technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,12.5,6,2017
2017-06-19,DarwinBox,technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4.0,6,2017
2017-06-20,ForeverShop,consumer internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding,0.3,6,2017
2017-06-20,Insider.in,consumer internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5.2,6,2017
2017-06-21,Fynd,ecommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2.4,6,2017
2017-06-21,Grow Fit,consumer internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4.5,6,2017
2017-06-21,Fabulyst,technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,0.215,6,2017
2017-06-21,mSwipe,technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31.0,6,2017
